Name,Ticker,Date: Morningstar Rating,"Morningstar 
Rating 
Overall","Morningstar 
Fair Value 
Status",Morningstar Fair Value Per Share,Fair Value Uncertainty,"Stock Capital Allocation 
Rating",Date: Economic Moat,Economic Moat,Moat Trend,"Moat Source 
- Cost Advantage","Moat Source 
- Efficient Scale","Moat Source 
- Intangible Assets","Moat Source 
- Network Effect","Moat Source 
- Switch Cost",Morningstar Quantitative Rating Date,Morningstar Quantitative Rating Overall,Date: Quantitative Valuation,Quantitative Moat,Quantitative Valuation,Quantitative Valuation Uncertainty,Quantitative Financial Health,"Quantitative Fair Value 
Estimate 
USD","Morningstar 
Credit Rating 
Date","Morningstar 
Credit Rating",Date: Morningstar Grades,Growth Grade,Profitability Grade,Financial Health Grade,Probability of Default,Solvency Score,Bear Market Rank Decile,"Business Risk 
Pillar","Solvency Score 
Pillar","Cash Flow Cushion 
Pillar",Stress Test Pillar,Momentum Score %,Consider Buying,Consider Selling
Celanese Corp Class A,CE,7/5/2022,4,Active,165,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,149.15,,,7/5/2022,B,A,B,0,274.04,9,,,,,39,115.5,222.75
Centene Corp,CNC,7/5/2022,3,Active,95,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,95.58,,,7/5/2022,B,D,B,0,653.8,4,,,,,84.32,57,147.25
CenterPoint Energy Inc,CNP,7/5/2022,2,Active,28,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,2,7/5/2022,Narrow,Fairly Valued,Low,Moderate,28.2,,,7/5/2022,D,D,B,0,586.5,10,,,,,83.05,22.4,35
Ceridian HCM Holding Inc,CDAY,7/5/2022,4,Active,80,High,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,78.74,,,7/5/2022,C,F,C,0.02,877.49,,,,,,2.74,48,124
CF Industries Holdings Inc,CF,7/5/2022,3,Active,75,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,High,Moderate,83.64,,,7/5/2022,B,B,C,0,286.24,5,,,,,98.65,45,116.25
Charles River Laboratories International Inc,CRL,7/5/2022,4,Active,260,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,301.12,,,7/5/2022,B,C,C,0,436.39,7,,,,,5.15,182,351
Charles Schwab Corp,SCHW,7/5/2022,4,Active,84,High,Exemplary,7/5/2022,Wide,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,Very High,Strong,82.01,,,7/5/2022,C,D,D,0.07,,6,,,,,60.68,50.4,130.2
Charter Communications Inc Class A,CHTR,7/5/2022,4,Active,610,High,Standard,7/5/2022,Narrow,Stable,Yes,Yes,No,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,694.67,,,7/5/2022,B,C,C,0,691.87,9,,,,,11.36,366,945.5
Chevron Corp,CVX,7/5/2022,3,Active,142,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Low,Moderate,152.66,,,7/5/2022,C,D,B,0,293.13,8,,,,,97.56,85.2,220.1
Chipotle Mexican Grill Inc,CMG,7/5/2022,3,Active,"1,530.00",High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,"1,436.01",,,7/5/2022,B,B,B,0,,6,,,,,21.84,918,"2,371.50"
Chubb Ltd,CB,7/5/2022,3,Active,193,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,Low,Moderate,203.56,,,7/5/2022,C,C,B,0,,7,,,,,44.92,135.1,260.55
Church & Dwight Co Inc,CHD,7/5/2022,1,Active,58,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,1,7/5/2022,Narrow,Overvalued,High,Strong,75.67,,,7/5/2022,C,C,A,0,390.57,4,,,,,76.65,40.6,78.3
Cigna Corp,CI,7/5/2022,4,Active,299,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,Yes,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Low,Moderate,292,,,7/5/2022,A,C,B,0,,5,,,,,79.78,209.3,403.65
Cincinnati Financial Corp,CINF,,,,,,,12/23/2013,None,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Strong,130.35,,,7/5/2022,B,B,B,0,,6,,,,,66.71,,
Cintas Corp,CTAS,7/5/2022,2,Active,283,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,No,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,High,Moderate,326.21,,,6/30/2022,C,A,,,339.98,8,,,,,51.92,198.1,382.05
Cisco Systems Inc,CSCO,7/5/2022,4,Active,54,Medium,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Strong,55.25,,,7/5/2022,C,B,B,0,263.39,6,,,,,39.05,37.8,72.9
Citigroup Inc,C,7/5/2022,5,Active,78,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Strong,66.44,,,7/5/2022,C,B,D,0.33,,10,,,,,24.84,54.6,105.3
Citizens Financial Group Inc,CFG,,,,,,,,,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,Very High,Strong,49.16,,,7/5/2022,C,C,C,0.04,,10,,,,,55.13,,
Citrix Systems Inc,CTXS,7/5/2022,3,Active,104,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,107.22,,,7/5/2022,C,A,B,0,641.92,3,,,,,61.48,72.8,140.4
Clorox Co,CLX,7/5/2022,4,Active,161,Low,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,155.83,,,7/5/2022,C,B,B,0,518.59,5,,,,,35.3,128.8,201.25
CME Group Inc Class A,CME,7/5/2022,3,Active,212,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,Yes,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Strong,217.89,,,7/5/2022,C,D,C,0,479.29,3,,,,,71.31,148.4,286.2
CMS Energy Corp,CMS,7/5/2022,1,Active,53,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,1,7/5/2022,Narrow,Overvalued,Low,Moderate,60.28,,,7/5/2022,C,C,B,0,568.51,7,,,,,73.52,42.4,66.25
Coca-Cola Co,KO,7/5/2022,2,Active,58,Low,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,1,7/5/2022,Wide,Overvalued,Low,Strong,58.08,,,7/5/2022,C,A,A,0,414.53,6,,,,,79.61,46.4,72.5
Cognizant Technology Solutions Corp Class A,CTSH,7/5/2022,5,Active,102,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Strong,90.46,,,7/5/2022,C,C,B,0,201,7,,,,,65.89,71.4,137.7
Colgate-Palmolive Co,CL,7/5/2022,2,Active,75,Low,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,1,7/5/2022,Wide,Overvalued,Low,Strong,72.38,,,7/5/2022,C,A,A,0,377.56,6,,,,,58.92,60,93.75
Comcast Corp Class A,CMCSA,7/5/2022,5,Active,60,Medium,Standard,7/5/2022,Wide,Stable,Yes,Yes,No,No,No,7/5/2022,5,7/5/2022,Wide,Undervalued,High,Moderate,58.37,,,7/5/2022,C,D,B,0,522.6,8,,,,,25.67,42,81
Comerica Inc,CMA,7/5/2022,4,Active,89,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,None,Undervalued,High,Strong,92.9,,,7/5/2022,C,C,C,0.04,,9,,,,,74.11,62.3,120.15
Conagra Brands Inc,CAG,7/5/2022,4,Active,44,Medium,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,4,7/5/2022,None,Undervalued,Medium,Moderate,39.19,,,7/5/2022,C,C,B,0,589.49,7,,,,,65.46,30.8,59.4
ConocoPhillips,COP,7/5/2022,3,Active,96,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,98.21,,,7/5/2022,C,C,B,0,260.77,7,,,,,97.56,57.6,148.8
Consolidated Edison Inc,ED,7/5/2022,2,Active,86,Low,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,2,7/5/2022,None,Fairly Valued,Low,Moderate,90.1,,,7/5/2022,C,D,B,0,666.88,6,,,,,88.49,68.8,107.5
Constellation Brands Inc Class A,STZ,7/5/2022,4,Active,269,Medium,Standard,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Moderate,229.31,,,7/5/2022,C,D,A,0,508.99,8,,,,,68.43,188.3,363.15
Constellation Energy Corp,CEG,,,,,,,,,,,,,,,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,58.11,,,7/5/2022,C,B,C,0.01,560.58,,,,,,,,
Copart Inc,CPRT,,,,,,,,,,,,,,,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Strong,114.9,,,7/5/2022,B,C,B,0,118.64,5,,,,,17.61,,
Corning Inc,GLW,7/5/2022,4,Active,42,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,Medium,Moderate,38.61,,,7/5/2022,C,B,B,0,478.61,6,,,,,54.36,29.4,56.7
Corteva Inc,CTVA,7/5/2022,3,Active,55,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Strong,58.07,,,7/5/2022,C,B,B,0,380.92,,,,,,89.33,38.5,74.25
Costco Wholesale Corp,COST,7/5/2022,3,Active,471,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,High,Strong,491.37,,,7/5/2022,C,A,B,0,333.24,5,,,,,70.57,329.7,635.85
Coterra Energy Inc Ordinary Shares,CTRA,7/5/2022,4,Active,32,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,30.18,,,7/5/2022,B,C,D,0.18,243.06,3,,,,,96.9,19.2,49.6
Crown Castle International Corp,CCI,7/5/2022,2,Active,135,High,Poor,7/5/2022,Narrow,Stable,No,Yes,No,No,Yes,7/5/2022,2,7/5/2022,Narrow,Overvalued,Medium,Moderate,149.75,,,7/5/2022,C,B,B,0,682.37,2,,,,,48.35,81,209.25
CSX Corp,CSX,7/5/2022,3,Active,32,Medium,Standard,7/5/2022,Wide,Stable,Yes,Yes,No,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,Medium,Moderate,31.87,,,7/5/2022,C,C,B,0,410.38,9,,,,,60.19,22.4,43.2
Cummins Inc,CMI,7/5/2022,4,Active,238,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,224.39,,,7/5/2022,C,C,B,0,329.19,6,,,,,38.84,166.6,321.3
CVS Health Corp,CVS,7/5/2022,4,Active,108,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,Low,Moderate,104.5,,,7/5/2022,C,C,B,0,607.86,9,,,,,80.68,75.6,145.8
D.R. Horton Inc,DHI,7/5/2022,4,Active,107,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,114.16,,,7/5/2022,B,B,B,0,337.4,9,,,,,20.19,64.2,165.85
Danaher Corp,DHR,7/5/2022,2,Active,200,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,3,7/5/2022,Wide,Overvalued,High,Moderate,241.75,,,7/5/2022,B,C,B,0,314.5,5,,,,,28.72,140,270
Darden Restaurants Inc,DRI,7/5/2022,3,Active,134,High,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,136.21,,,7/5/2022,C,C,B,0,506,6,,,,,39.39,80.4,207.7
DaVita Inc,DVA,7/5/2022,4,Active,116,High,Standard,7/5/2022,Narrow,Stable,Yes,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,115.09,,,7/5/2022,B,A,C,0,551.62,8,,,,,36.56,69.6,179.8
Deere & Co,DE,7/5/2022,3,Active,294,High,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,338.73,,,7/5/2022,C,A,C,0,693.12,5,,,,,64.76,176.4,455.7
Delta Air Lines Inc,DAL,7/5/2022,4,Active,55,Very High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,45.6,,,7/5/2022,D,F,C,0.02,848.16,7,,,,,49.08,27.5,96.25
Dentsply Sirona Inc,XRAY,,,,,,,4/15/2021,None,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,53.28,,,7/5/2022,C,F,B,0,429.82,8,,,,,15.1,,
Devon Energy Corp,DVN,7/5/2022,2,Active,48,Medium,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,55.06,,,7/5/2022,C,C,C,0,302.79,10,,,,,99.36,33.6,64.8
DexCom Inc,DXCM,7/5/2022,3,Active,81,High,Exemplary,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,89.41,,,7/5/2022,B,B,B,0,529.28,5,,,,,8.9,48.6,125.55
Diamondback Energy Inc,FANG,7/5/2022,3,Active,124,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,127.37,,,7/5/2022,B,D,C,0,324.77,8,,,,,95.5,74.4,192.2
Digital Realty Trust Inc,DLR,7/5/2022,3,Active,133,High,Standard,7/5/2022,Narrow,Positive,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Moderate,144.99,,,7/5/2022,C,B,B,0,586.24,4,,,,,33.26,79.8,206.15
Discover Financial Services,DFS,7/5/2022,4,Active,142,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,4,7/5/2022,Narrow,Undervalued,High,Strong,130.17,,,7/5/2022,C,A,C,0,,7,,,,,45.66,85.2,220.1
DISH Network Corp Class A,DISH,7/5/2022,5,Active,38,Very High,Poor,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Undervalued,Very High,Moderate,39.11,,,7/5/2022,C,D,D,0.11,510.21,10,,,,,7.54,19,66.5
Dollar General Corp,DG,7/5/2022,2,Active,212,Medium,Standard,7/5/2022,Narrow,Negative,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Overvalued,Medium,Moderate,235.13,,,7/5/2022,B,A,B,0,442.49,2,,,,,52.39,148.4,286.2
Dollar Tree Inc,DLTR,7/5/2022,1,Active,117,Medium,Standard,7/5/2022,None,Negative,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Overvalued,High,Moderate,146.12,,,7/5/2022,C,C,B,0,437.46,5,,,,,94.58,81.9,157.95
Dominion Energy Inc,D,7/5/2022,3,Active,82,Low,Standard,7/5/2022,Wide,Stable,No,Yes,No,No,No,7/5/2022,2,7/5/2022,Wide,Fairly Valued,Low,Moderate,77.03,,,7/5/2022,C,D,B,0,643.07,7,,,,,73.23,65.6,102.5
Domino's Pizza Inc,DPZ,7/5/2022,3,Active,400,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Undervalued,High,Moderate,429.46,,,7/5/2022,B,,B,0,,3,,,,,13.71,280,540
Dover Corp,DOV,7/5/2022,4,Active,169,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,155.73,,,7/5/2022,C,C,B,0,337.69,8,,,,,31.29,118.3,228.15
Dow Inc,DOW,,,,,,,,,,,,,,,7/5/2022,4,7/5/2022,None,Undervalued,High,Moderate,60.45,,,7/5/2022,C,B,B,0,335.05,,,,,,65.93,,
DTE Energy Co,DTE,7/5/2022,2,Active,114,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,2,7/5/2022,Narrow,Fairly Valued,Low,Moderate,118.17,,,7/5/2022,C,D,B,0,756.97,9,,,,,74.41,91.2,142.5
Duke Energy Corp,DUK,7/5/2022,2,Active,101,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,2,7/5/2022,Narrow,Fairly Valued,Low,Moderate,103.24,,,7/5/2022,C,D,B,0,699.1,6,,,,,68.36,80.8,126.25
Duke Realty Corp,DRE,7/5/2022,3,Active,53,High,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,High,Moderate,57.96,,,7/5/2022,C,D,B,0,284.29,5,,,,,62.82,31.8,82.15
DuPont de Nemours Inc,DD,7/5/2022,5,Active,100,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,82.9,,,7/5/2022,C,B,B,0,455.03,9,,,,,49.51,70,135
DXC Technology Co Registered Shs When Issued,DXC,,,,,,,11/7/2019,None,,,,,,,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,42.49,,,7/5/2022,D,F,C,0.01,534.44,10,,,,,44.33,,
Eastman Chemical Co,EMN,7/5/2022,5,Active,140,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Moderate,123.1,,,7/5/2022,C,D,C,0,477.08,8,,,,,58.21,98,189
Eaton Corp PLC,ETN,7/5/2022,4,Active,154,Medium,Standard,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Wide,Undervalued,Medium,Moderate,146.71,,,7/5/2022,C,D,B,0,411.36,7,,,,,38.07,107.8,207.9
eBay Inc,EBAY,7/5/2022,5,Active,65,Medium,Standard,7/5/2022,Narrow,Negative,No,No,No,Yes,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,65.07,,,7/5/2022,B,A,C,0,478.69,6,,,,,10.53,45.5,87.75
Ecolab Inc,ECL,7/5/2022,4,Active,215,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,No,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,187.15,,,7/5/2022,C,D,B,0,489.53,6,,,,,14,150.5,290.25
Edison International,EIX,7/5/2022,4,Active,72,Medium,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,Medium,Moderate,64.85,,,7/5/2022,C,C,B,0,782.42,9,,,,,78.92,50.4,97.2
Edwards Lifesciences Corp,EW,7/5/2022,3,Active,96,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Wide,Fairly Valued,Medium,Strong,95.93,,,7/5/2022,B,C,B,0,155.35,6,,,,,40.89,57.6,148.8
Electronic Arts Inc,EA,7/5/2022,3,Active,142,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Strong,129.34,,,7/5/2022,C,D,B,0,383.56,7,,,,,42.35,85.2,220.1
Elevance Health Inc,ELV,7/5/2022,3,Active,452,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,Yes,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,494.29,,,7/5/2022,B,C,B,0,,3,,,,,86.76,316.4,610.2
Eli Lilly and Co,LLY,7/5/2022,2,Active,262,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Moderate,289.81,,,7/5/2022,B,A,A,0,344.02,3,,,,,74.63,183.4,353.7
Emerson Electric Co,EMR,7/5/2022,4,Active,113,Medium,Standard,7/5/2022,Wide,Stable,No,No,Yes,No,Yes,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Moderate,93.29,,,7/5/2022,C,C,B,0,338.48,9,,,,,46.42,79.1,152.55
Enphase Energy Inc,ENPH,7/5/2022,2,Active,132,Very High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,Very High,Moderate,192.53,,,7/5/2022,A,A,C,0,480.77,3,,,,,41.44,66,231
Entergy Corp,ETR,7/5/2022,3,Active,115,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,111.54,,,7/5/2022,C,C,B,0,734.78,8,,,,,73.57,92,143.75
EOG Resources Inc,EOG,7/5/2022,3,Active,106,Medium,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,108.09,,,7/5/2022,C,C,B,0,262.92,8,,,,,98.33,74.2,143.1
EPAM Systems Inc,EPAM,,,,,,,,,,,,,,,7/5/2022,3,7/5/2022,Narrow,Undervalued,Very High,Moderate,518.88,,,7/5/2022,B,C,C,0,,9,,,,,2.75,,
Equifax Inc,EFX,7/5/2022,5,Active,325,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,Yes,No,No,7/5/2022,4,7/5/2022,Wide,Undervalued,Very High,Moderate,254.54,,,7/5/2022,C,C,B,0,526.14,9,,,,,15.75,227.5,438.75
Equinix Inc,EQIX,7/5/2022,2,Active,560,High,Exemplary,7/5/2022,Narrow,Stable,No,No,No,Yes,Yes,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,High,Moderate,652.1,,,7/5/2022,C,D,B,0,597.75,3,,,,,31.14,336,868
Equity Residential,EQR,7/5/2022,4,Active,88,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Medium,Moderate,82.12,,,7/5/2022,C,C,B,0,500.39,7,,,,,56.94,61.6,118.8
Essex Property Trust Inc,ESS,7/5/2022,4,Active,322,Medium,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,Medium,Moderate,307.46,,,7/5/2022,C,C,B,0,583.66,4,,,,,45.89,225.4,434.7
Etsy Inc,ETSY,7/5/2022,5,Active,195,High,Standard,7/5/2022,Wide,Stable,No,No,Yes,Yes,No,7/5/2022,3,7/5/2022,Wide,Undervalued,Very High,Moderate,158.35,,,7/5/2022,A,A,C,0.01,310.31,7,,,,,3.22,117,302.25
Everest Re Group Ltd,RE,,,,,,,10/25/2010,None,,,,,,,7/5/2022,3,7/5/2022,None,Undervalued,High,Moderate,301.75,,,7/5/2022,B,B,C,0,,3,,,,,76.96,,
Evergy Inc,EVRG,7/5/2022,3,Active,62,Low,Standard,7/5/2022,Narrow,Stable,No,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Low,Moderate,62.91,,,7/5/2022,C,C,B,0,675.49,9,,,,,61.18,49.6,77.5
Eversource Energy,ES,7/5/2022,2,Active,71,Low,Standard,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,1,7/5/2022,None,Overvalued,Low,Moderate,78.36,,,7/5/2022,C,C,B,0,684.73,8,,,,,59.56,56.8,88.75
Exelon Corp,EXC,7/5/2022,2,Active,41,Low,Standard,7/5/2022,Narrow,Stable,Yes,Yes,No,No,No,7/5/2022,3,7/5/2022,Narrow,Fairly Valued,Medium,Moderate,44.1,,,7/5/2022,C,D,C,0.03,651.94,9,,,,,90.22,32.8,51.25
Expedia Group Inc,EXPE,7/5/2022,5,Active,175,High,Standard,7/5/2022,Narrow,Stable,No,No,No,Yes,No,7/5/2022,3,7/5/2022,Narrow,Undervalued,High,Moderate,158.83,,,7/5/2022,D,F,C,0.03,717.87,7,,,,,57.65,105,271.25
Expeditors International of Washington Inc,EXPD,7/5/2022,3,Active,104,Medium,Exemplary,7/5/2022,Wide,Stable,No,No,No,Yes,No,7/5/2022,4,7/5/2022,Wide,Undervalued,High,Strong,113.08,,,7/5/2022,B,A,B,0,,6,,,,,24.13,72.8,140.4
Extra Space Storage Inc,EXR,7/5/2022,3,Active,185,High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,3,7/5/2022,None,Fairly Valued,Medium,Moderate,178.8,,,7/5/2022,C,C,B,0,557.22,3,,,,,58.82,111,286.75
Exxon Mobil Corp,XOM,7/5/2022,3,Active,96,High,Exemplary,7/5/2022,Narrow,Stable,Yes,No,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,93.48,,,7/5/2022,C,D,B,0,338.34,7,,,,,97.69,57.6,148.8
F5 Inc,FFIV,7/5/2022,4,Active,210,High,Exemplary,7/5/2022,Narrow,Stable,No,No,Yes,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,High,Strong,196.73,,,7/5/2022,C,D,B,0,,7,,,,,32.34,126,325.5
FactSet Research Systems Inc,FDS,7/5/2022,2,Active,340,Medium,Standard,7/5/2022,Narrow,Stable,No,No,No,No,Yes,7/5/2022,3,7/5/2022,Wide,Overvalued,High,Moderate,373.26,,,7/5/2022,C,C,B,0,207.27,6,,,,,56.24,238,459
Fastenal Co,FAST,7/5/2022,2,Active,44.5,Medium,Exemplary,7/5/2022,Wide,Stable,Yes,No,No,No,No,7/5/2022,2,7/5/2022,Wide,Overvalued,Medium,Strong,46.37,,,7/5/2022,C,A,A,0,141.46,7,,,,,52.5,31.15,60.08
Federal Realty Investment Trust,FRT,7/5/2022,4,Active,138,High,Exemplary,7/5/2022,None,Stable,No,No,No,No,No,7/5/2022,5,7/5/2022,None,Undervalued,High,Moderate,121.74,,,7/5/2022,C,D,B,0,599.73,7,,,,,50.8,82.8,213.9
FedEx Corp,FDX,7/5/2022,3,Active,258,High,Standard,7/5/2022,Narrow,Negative,Yes,Yes,No,No,No,7/5/2022,4,7/5/2022,Narrow,Undervalued,Medium,Moderate,257.12,,,7/5/2022,C,C,C,0,451.95,8,,,,,41.26,154.8,399.9
Fidelity National Information Services Inc,FIS,7/5/2022,5,Active,137,Medium,Standard,7/5/2022,Narrow,Stable,Yes,No,No,No,Yes,7/5/2022,5,7/5/2022,Narrow,Undervalued,Medium,Moderate,134.46,,,7/5/2022,D,D,B,0,553.6,5,,,,,33.16,95.9,184.95
