Name,Ticker,SEC CIK,Exchange,Exchange Country,Business Country,Company Name,Company Id,SecId,CUSIP,ISIN,Industry,"Return Date 
(Daily)",Last Close,"Market Cap (mil) 
(Daily) 
USD",Earnings Yield (Daily),P/E Ratio (TTM) (Long),"Price 52 Wk High 
USD","Price 52 Wk Low 
USD",Price/Fair Value,"Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,Dividend Declare Date,Dividend Record Date,Dividend Payable Date,"Grossed Up Dividend 
Amount",Dividend Yield % TTM,"Grossed Up Dividend 
Yield % TTM",Forward Dividend Yield %,Earnings Yield % TTM,Forward Earnings Yield %,Current Return %,Date: Inc Statement TTM,EPS TTM,"Revenue (mil) 
TTM 
USD","Net Income (mil) 
TTM 
USD","Dividend per Share 
TTM 
USD","Base 
Currency",Primary Share,Primary Share for Company,Sector,NAICS,SIC,Hemscott Industry,GICS Sub-Industry,GICS Industry,GICS Industry Group,GICS Sector,Russell Sector,Russell Sub-Sector,Russell Industry,MSCI Country,"Equity 
Style Box (Long)",Stock Type,Analyst Name,Analysis Date,Security Type,"Equity Profile 
Report Date",IPO Date,IPO Offer Price,"Note Effective 
Date",Delisting Date,Delisting Reason,"India Market 
Cap Date",India Market Cap,Indian Stock Category,ICB Industry,ICB Supersector,ICB Sector,ICB Subsector,Market Industry Code - JP,Market Industry Name - JP,Local Short Trading Name,Local Legal Trading Name,"ESG Risk 
Rating Assessment",Submarket,ADR
Boston Scientific Corp,BSX,885725,"New York Stock Exchange, Inc.",United States,United States,Boston Scientific Corp,0C000006ZL,0P000000UI,,,Medical Devices,7/5/2022,37.76,"53,980.61",0.01,70.32,47.5,34.98,0.84,,,"[1998-12-01]	1.000000	2.000000;[2003-11-06]	1.000000	2.000000;",,,,,,,,1.4,4.66,-0.66,3/31/2022,0.53,"12,162.00",810,,US Dollar,Yes,Yes,Healthcare,Surgical and Medical Instrument Manufacturing,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,,,,,,Healthcare,Medical Equipment And Services,Medical & dental instruments & supplies,,Large Blend,Slow Growth,Debbie S. Wang,4/18/2022,Common Stock,,5/18/1992,,,,,,,,,,,,,,,,,,No
Bristol-Myers Squibb Co,BMY,14272,"New York Stock Exchange, Inc.",United States,United States,Bristol-Myers Squibb Co,0C0000070T,0P000000VL,,,Drug Manufacturers - General,7/5/2022,75.96,"161,723.72",0.04,27.3,80.59,53.22,1.12,6/30/2022,0.54,"[1977-05-31]	1.000000	2.000000;[1983-05-27]	1.000000	2.000000;[1987-06-10]	1.000000	2.000000;[1997-03-03]	1.000000	2.000000;[1999-03-01]	1.000000	2.000000;",6/15/2022,7/1/2022,8/1/2022,,2.78,,2.84,3.71,10.03,-1.15,3/31/2022,2.82,"46,960.00","6,251.00",2.06,US Dollar,Yes,Yes,Healthcare,;Pharmaceutical Preparation Manufacturing;;;,;PHARMACEUTICAL PREPARATIONS;;;,,,,,,Healthcare,Pharmaceuticals & Biotech,Pharmaceuticals,,Large Value,Aggressive Growth,"Damien Conover, CFA",6/20/2022,Common Stock,,6/23/1952,,,,,,,,,,,,,,,,,,No
Broadcom Inc,AVGO,1730168,Nasdaq - All Markets,United States,United States,Broadcom Inc,0C000017Q5,0P0000KU35,,,Semiconductors,7/5/2022,476.3,"192,338.37",0.04,24.06,677.76,457.59,0.76,6/21/2022,4.1,,5/26/2022,6/22/2022,6/30/2022,,3.34,,3.44,4.24,8.36,-0.32,4/30/2022,20.19,"29,994.00","8,927.00",15.4,US Dollar,Yes,Yes,Technology,Semiconductor and Related Device Manufacturing,SEMICONDUCTORS & RELATED DEVICES,,,,,,Technology,Electronics,Semiconductors and components,,Large Blend,Cyclical,"Abhinav Davuluri, CFA",5/27/2022,Common Stock,5/11/2012,8/6/2009,,,,,,,,,,,,,,,,,,No
Broadridge Financial Solutions Inc,BR,1383312,"New York Stock Exchange, Inc.",United States,United States,Broadridge Financial Solutions Inc,0C00000PSK,0P000087QU,,,Information Technology Services,7/5/2022,146.15,"17,132.70",0.03,30.52,185.4,132.4,0.84,6/14/2022,0.64,,5/12/2022,6/15/2022,7/6/2022,,1.75,,1.75,3.2,4.98,-0.18,3/31/2022,4.67,"5,517.80",551.4,2.5,US Dollar,Yes,Yes,Technology,All Other Business Support Services,"BUSINESS SERVICES, N.E.C.",,,,,,Financial Services,Investment Banking & Brokerage,Diversified financial services,,Mid Blend,Classic Growth,"Rajiv Bhatia, CFA",5/31/2022,Common Stock,,3/22/2007,,,,,,,,,,,,,,,,,,No
Brown & Brown Inc,BRO,79282,"New York Stock Exchange, Inc.",United States,United States,Brown & Brown Inc,0C0000071H,0P000000WB,,,Insurance Brokers,7/5/2022,59.9,"16,908.15",0.04,27.26,74,52.18,,5/6/2022,0.1,"[1983-03-24]	2.000000	3.000000;[1986-05-12]	2.000000	3.000000;[1991-05-30]	4.000000	5.000000;[1998-03-02]	2.000000	3.000000;[2000-08-24]	1.000000	2.000000;[2001-11-23]	1.000000	2.000000;[2005-11-29]	1.000000	2.000000;",4/25/2022,5/9/2022,5/18/2022,,0.67,,0.68,3.57,3.91,0.96,3/31/2022,2.14,"3,137.72",607.7,0.39,US Dollar,Yes,Yes,Financial Services,Insurance Agencies and Brokerages;;;,"INSURANCE AGENTS, BROKERS & SERVICE;;;",,,,,,Financial Services,Insurance,Insurance: Multi-line,,Mid Blend,Cyclical,,,Common Stock,,2/27/1981,,,,,,,,,,,,,,,,,,No
Brown-Forman Corp Registered Shs -B- Non Vtg,BF.B,14693,"New York Stock Exchange, Inc.",United States,United States,Brown-Forman Corp,0C0000071J,0P000000WD,,,Beverages - Wineries & Distilleries,7/5/2022,70.8,"33,482.09",0.02,40.32,75.46,60.23,0.94,6/7/2022,0.19,"[1981-07-17]	1.000000	2.000000;[1987-04-02]	2.000000	3.000000;[1994-05-31]	1.000000	3.000000;[2004-01-21]	1.000000	2.000000;[2008-10-28]	4.000000	5.000000;[2012-08-13]	2.000000	3.000000;[2016-08-19]	1.000000	2.000000;",5/26/2022,6/8/2022,7/1/2022,,1.05,,1.06,2.46,2.76,-1.08,4/30/2022,1.74,"3,933.00",838,0.74,US Dollar,Yes,Yes,Consumer Defensive,;Distilleries;;;;,;DISTILLED & BLENDED LIQUORS;;;;,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Beverage: Brewers and distillers,,Mid Blend,Slow Growth,Sean Dunlop,6/10/2022,Common Stock,,6/30/1972,,,,,,,,,,,,,,,,,,No
C.H. Robinson Worldwide Inc,CHRW,1043277,Nasdaq - All Markets,United States,United States,C.H. Robinson Worldwide Inc,0C000007A8,0P000000YD,,,Integrated Freight & Logistics,7/5/2022,99.46,"12,657.89",0.07,14.32,115.99,84.67,1.01,6/2/2022,0.55,"[2000-12-04]	1.000000	2.000000;[2005-10-17]	1.000000	2.000000;",5/5/2022,6/3/2022,7/1/2022,,2.17,,2.21,7.12,7.26,-2.55,3/31/2022,7.08,"25,114.22",941.29,2.12,US Dollar,Yes,Yes,Industrials,Freight Transportation Arrangement,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,,,,,,Producer Durables,Transportation & Freight,Truckers,,Mid Blend,Cyclical,"Matthew Young, CFA",5/2/2022,Common Stock,5/11/2012,10/15/1997,,,,,,,,,,,,,,,,,,No
Cadence Design Systems Inc,CDNS,813672,Nasdaq - All Markets,United States,United States,Cadence Design Systems Inc,0C0000072W,0P00000100,,,Software - Application,7/5/2022,151.64,"41,816.09",0.02,55.98,192.7,132.32,1.04,,,"[1988-05-24]	1.000000	1.085800;[1995-10-31]	2.000000	3.000000;[1996-06-03]	2.000000	3.000000;[1997-11-17]	1.000000	2.000000;",,,,,,,,1.77,2.53,1.34,3/31/2022,2.68,"3,153.98",744.12,,US Dollar,Yes,Yes,Technology,Software Publishers;;,PREPACKAGED SOFTWARE;;,,,,,,Technology,Information Technology,Computer services software and systems,,Large Growth,Aggressive Growth,"Abhinav Davuluri, CFA",6/24/2022,Common Stock,5/11/2012,3/26/1990,,,,,,,,,,,,,,,,,,No
Caesars Entertainment Inc,CZR,1590895,Nasdaq - All Markets,United States,United States,Caesars Entertainment Inc,0C0000AQHS,0P0001497T,,,Resorts & Casinos,7/5/2022,42.26,"9,059.11",-0.11,,119.81,36.63,0.42,,,,,,,,,,,-11.33,-5.32,9.68,3/31/2022,-5.98,"10,070.00","-1,276.00",,US Dollar,Yes,Yes,Consumer Cyclical,Casino Hotels,HOTELS & MOTELS,,,,,,Consumer Discretionary,Leisure,Casinos and gambling,,Mid Blend,Distressed,Dan Wasiolek,5/16/2022,Common Stock,,9/19/2014,,,,,,,,,,,,,,,,,,No
Camden Property Trust,CPT,906345,"New York Stock Exchange, Inc.",United States,United States,Camden Property Trust,0C00000743,0P00000117,,,REIT - Residential,7/5/2022,133.91,"14,264.21",0.03,39.44,180.37,125.17,,6/29/2022,0.94,,6/15/2022,6/30/2022,7/15/2022,,2.64,,2.64,2.55,0.97,-1.58,3/31/2022,3.41,"1,187.38",353.31,3.43,US Dollar,Yes,Yes,Real Estate,Lessors of Residential Buildings and Dwellings,REAL ESTATE INVESTMENT TRUSTS,,,,,,Financial Services,Real Estate Investment Trusts (REITs),Equity REIT: Residential,,Mid Blend,Hard Assets,,,Common Stock,,7/22/1993,,,,,,,,,,,,,,,,,,No
Campbell Soup Co,CPB,16732,"New York Stock Exchange, Inc.",United States,United States,Campbell Soup Co,0C00000746,0P0000011A,,,Packaged Foods,7/5/2022,48.25,"14,502.77",0.06,15.4,51.94,39.76,0.93,7/6/2022,0.37,"[1985-08-01]	1.000000	2.000000;[1987-12-23]	1.000000	2.000000;[1991-12-24]	1.000000	2.000000;[1997-03-18]	1.000000	2.000000;",5/24/2022,7/7/2022,8/1/2022,,3.07,,3.07,6.47,5.99,-0.5,4/30/2022,3.13,"8,448.00",949,1.48,US Dollar,Yes,Yes,Consumer Defensive,;;Specialty Canning;;;;;;,CANNED SPECIALTIES;;;;;;;,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Foods,,Mid Blend,Slow Growth,"Erin Lash, CFA",6/13/2022,Common Stock,,12/13/1954,,,,,,,,,,,,,,,,,,No
Capital One Financial Corp,COF,927628,"New York Stock Exchange, Inc.",United States,United States,Capital One Financial Corp,0C00000753,0P00000129,,,Credit Services,7/5/2022,106.66,"41,922.78",0.24,4.08,177.95,98.54,0.66,5/13/2022,0.6,"[1999-06-02]	1.000000	3.000000",5/5/2022,5/16/2022,5/27/2022,,2.25,,2.25,23.95,19.31,-0.15,3/31/2022,25.53,"31,495.00","11,468.00",2.2,US Dollar,Yes,Yes,Financial Services,Credit Card Issuing;;;;,;SHORT-TERM BUSINESS CREDIT INSTITUTIONS;;,,,,,,Financial Services,Consumer Finance & Credit Services,Financial data & systems,,Large Value,Cyclical,Michael Miller,3/21/2022,Common Stock,,11/16/1994,,,,,,,,,,,,,,,,,,No
Cardinal Health Inc,CAH,721371,"New York Stock Exchange, Inc.",United States,United States,Cardinal Health Inc,0C0000075R,0P00000130,,,Medical Distribution,7/5/2022,52.25,"14,234.33",-0.07,,64.53,45.85,1,6/30/2022,0.5,"[1989-10-02]	4.000000	5.000000;[1990-10-01]	4.000000	5.000000;[1991-10-01]	4.000000	5.000000;[1994-07-01]	4.000000	5.000000;[1996-12-17]	2.000000	3.000000;[1998-11-02]	2.000000	3.000000;[2001-04-23]	2.000000	3.000000;",5/10/2022,7/1/2022,7/15/2022,,3.77,,3.79,-6.55,10.39,-1.6,3/31/2022,-3.42,"176,847.00",-955,1.96,US Dollar,Yes,Yes,Healthcare,;Drugs and Druggists' Sundries Merchant Wholesalers;;,"DRUGS, DRUG PROPRIETARIES, & DRUGGISTS' SUNDRIES;;;",,,,,,Healthcare,Pharmaceuticals & Biotech,Pharmaceuticals,,Mid Value,Slow Growth,"Karen Andersen, CFA",6/14/2022,Common Stock,,9/7/1994,,,,,,,,,,,,,,,,,,No
CarMax Inc,KMX,1170010,"New York Stock Exchange, Inc.",United States,United States,CarMax Inc,0C00000765,0P0000012P,,,Auto & Truck Dealerships,7/5/2022,95.82,"15,251.29",0.06,15.34,155.98,84.37,0.62,,,"[2007-03-27]	1.000000	2.000000",,,,,,,,6.16,6.15,3.4,5/31/2022,5.9,"33,514.43",966.81,,US Dollar,Yes,Yes,Consumer Cyclical,Automobile and Other Motor Vehicle Merchant Wholesalers;;,;USED CAR DEALERS;,,,,,,Consumer Discretionary,Retail,Specialty retail,,Mid Blend,Cyclical,"David Whiston, CFA, CPA, CFE",4/25/2022,Common Stock,,2/4/1997,,,,,,,,,,,,,,,,,,No
Carnival Corp Shs Paired with 1 sh of beneficial interest from P&O Princess,CCL,815097,"New York Stock Exchange, Inc.",United States,United States,Carnival Corp,0C00000767,0P0000013F,,PA1436583006,Travel Services,7/5/2022,9.38,"11,073.13",-0.86,,27.39,8.1,0.39,2/20/2020,0.5,"[1994-12-15]	1.000000	2.000000;[1998-06-15]	1.000000	2.000000;",1/16/2020,2/21/2020,3/13/2020,,,,,-86.35,-34.3,6.35,5/31/2022,-8.1,"5,857.00","-9,182.00",0,US Dollar,Yes,Yes,Consumer Cyclical,";Scenic and Sightseeing Transportation, Land;;;;;",";WATER TRANSPORTATION OF PASSENGERS, N.E.C.;;;;",,,,,,Consumer Discretionary,Leisure,Leisure time,,Mid Value,,"Jaime M. Katz, CFA",6/28/2022,Common Stock,,7/24/1987,,,,,,,,,,,,,,,,,,No
Carrier Global Corp Ordinary Shares,CARR,1783180,"New York Stock Exchange, Inc.",United States,United States,Carrier Global Corp,0C0000BSH2,0P0001JG3P,,,Building Products & Equipment,7/5/2022,36.07,"30,596.08",0.08,11.81,58.89,34.12,0.75,6/22/2022,0.15,,6/9/2022,6/23/2022,8/10/2022,,1.58,,1.66,8.37,6.38,0.19,3/31/2022,3.02,"20,568.00","2,659.00",0.51,US Dollar,Yes,Yes,Industrials,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,WARM AIR HEATING & AIR CONDITIONING,,,,,,Materials & Processing,Building Materials,Building: Climate control,,Mid Blend,Classic Growth,"Brian Bernard, CFA, CPA",5/10/2022,Common Stock,,3/18/2020,,,,,,,,,,,,,,,,,,No
Catalent Inc,CTLT,1596783,"New York Stock Exchange, Inc.",United States,United States,Catalent Inc,0C0000AKAJ,0P00013O71,,,Drug Manufacturers - Specialty & Generic,7/5/2022,105.99,"18,994.81",0.03,38.59,142.64,86.34,1.08,,,,,,,,,,,2.62,3.84,-0.96,3/31/2022,2.78,"4,703.00",513,,US Dollar,Yes,Yes,Healthcare,Pharmaceutical Preparation Manufacturing,PHARMACEUTICAL PREPARATIONS,,,,,,Healthcare,Pharmaceuticals & Biotech,Pharmaceuticals,,Mid Growth,Aggressive Growth,Rachel Elfman,5/4/2022,Common Stock,,7/31/2014,20.5,,,,,,,,,,,,,,,,,No
Caterpillar Inc,CAT,18230,"New York Stock Exchange, Inc.",United States,United States,Caterpillar Inc,0C00000778,0P0000014I,,,Farm & Heavy Construction Machinery,7/5/2022,173.76,"92,679.14",0.07,15,237.9,170.6,0.92,7/19/2022,1.2,"[1976-07-26]	2.000000	3.000000;[1994-09-06]	1.000000	2.000000;[1997-07-14]	1.000000	2.000000;[2005-07-14]	1.000000	2.000000;",6/8/2022,7/20/2022,8/19/2022,,2.56,,2.76,6.86,7.22,-2.54,3/31/2022,11.92,"52,673.00","6,496.00",4.36,US Dollar,Yes,Yes,Industrials,Construction Machinery Manufacturing;;;,CONSTRUCTION MACHINERY & EQUIPMENT;;;,,,,,,Producer Durables,Machinery,Machinery: Construction and handling,,Large Blend,Cyclical,Dawit Woldemariam,5/18/2022,Common Stock,,12/2/1929,,,,,,,,,,,,,,,,,,No
Cboe Global Markets Inc,CBOE,1374310,Cboe BZX U.S. Equities Exchange,United States,United States,Cboe Global Markets Inc,0C00004HWF,0P0000OPOO,,,Financial Data & Stock Exchanges,7/5/2022,117.44,"12,470.79",0.04,24.24,139,103.82,,5/27/2022,0.48,,5/12/2022,5/31/2022,6/15/2022,,1.58,,1.63,3.98,5.32,2.41,3/31/2022,4.67,"3,458.50",501.4,1.38,US Dollar,Yes,Yes,Financial Services,,,,,,,,Financial Services,Investment Banking & Brokerage,Securities brokerage & services,,Mid Blend,Cyclical,,,Common Stock,5/11/2012,6/15/2010,,,,,,,,,,,,,,,,,,No
CBRE Group Inc Class A,CBRE,1138118,"New York Stock Exchange, Inc.",United States,United States,CBRE Group Inc,0C0000077G,0P000000XJ,,,Real Estate Services,7/5/2022,76.47,"24,995.03",0.08,12.71,111,67.68,0.76,,,"[2006-06-02]	1.000000	3.000000",,,,,,,,7.57,7.99,1.03,3/31/2022,5.79,"29,140.09","1,962.67",,US Dollar,Yes,Yes,Real Estate,Real Estate Credit;;,;REAL ESTATE AGENTS & MANAGERS;;,,,,,,Financial Services,Real Estate,Real estate services,,Mid Blend,Cyclical,Suryansh Sharma,5/5/2022,Common Stock,,6/10/2004,,,,,,,,,,,,,,,,,,No
CDW Corp,CDW,1402057,Nasdaq - All Markets,United States,United States,CDW Corp,0C0000077Y,0P0000YZKK,,,Information Technology Services,7/5/2022,157.75,"21,314.50",0.05,21.76,208.71,152.15,,5/24/2022,0.5,,5/4/2022,5/25/2022,6/10/2022,,1.2,,1.27,4.59,6.13,0.48,3/31/2022,7.24,"21,932.40","1,006.20",1.8,US Dollar,Yes,Yes,Technology,;Other Computer Related Services;,";COMPUTER RELATED SERVICES, N.E.C.;",,,,,,Technology,Information Technology,Computer technology,,Mid Blend,Classic Growth,,,Common Stock,,6/27/2013,17,,,,,,,,,,,,,,,,,No
Celanese Corp Class A,CE,1306830,"New York Stock Exchange, Inc.",United States,United States,Celanese Corp,0C00000786,0P0000014X,,,Chemicals,7/5/2022,113.04,"12,243.24",0.17,6.24,176.5,110.05,0.69,4/27/2022,0.68,,4/19/2022,4/28/2022,5/12/2022,,2.41,,2.41,16.67,15.92,-2.32,3/31/2022,18.65,"9,277.00","2,070.00",2.72,US Dollar,Yes,Yes,Basic Materials,All Other Basic Organic Chemical Manufacturing;;,PLASTICS MATERIALS & SYNTHETIC RESINS;;,,,,,,Materials & Processing,Chemical & Synthetics,Chemicals: Diversified,,Mid Value,Cyclical,"Seth Goldstein, CFA",4/29/2022,Common Stock,,1/21/2005,,,,,,,,,,,,,,,,,,No
Centene Corp,CNC,1071739,"New York Stock Exchange, Inc.",United States,United States,Centene Corp,0C0000078O,0P0000015E,,,Healthcare Plans,7/5/2022,84.75,"49,569.17",0.03,33.44,89.92,59.67,0.89,,,"[2003-07-14]	2.000000	3.000000;[2004-12-20]	1.000000	2.000000;[2015-02-20]	1.000000	2.000000;",,,,,,,,2.99,6.64,-1.69,3/31/2022,2.53,"133,184.00","1,497.00",,US Dollar,Yes,Yes,Healthcare,Direct Health and Medical Insurance Carriers,HOSPITAL & MEDICAL SERVICE PLANS,,,,,,Healthcare,Health Care Services,Health care management services,,Large Blend,Aggressive Growth,"Julie Utterback, CFA",6/17/2022,Common Stock,,12/13/2001,,,,,,,,,,,,,,,,,,No
CenterPoint Energy Inc,CNP,1130310,"New York Stock Exchange, Inc.",United States,United States,CenterPoint Energy Inc,0C0000078V,0P0000015K,,,Utilities - Regulated Electric,7/5/2022,29.09,"18,310.67",0.05,21.91,33,24.33,1.04,5/18/2022,0.17,"[1981-06-15]	2.000000	3.000000;[1995-12-11]	1.000000	2.000000;",4/22/2022,5/19/2022,6/9/2022,,2.3,,2.34,4.64,4.71,-4.62,3/31/2022,2.54,"8,568.00","1,654.00",0.66,US Dollar,Yes,Yes,Utilities,;;Electric Power Distribution;;;,;ELECTRIC SERVICES;;;;;,,,,,,Utilities,Utilities,Utilities: Gas distributors,,Mid Blend,Classic Growth,"Andrew Bischof, CFA, CPA",5/4/2022,Common Stock,,6/30/1972,,,,,,,,,,,,,,,,,,No
Ceridian HCM Holding Inc,CDAY,1725057,"New York Stock Exchange, Inc.",United States,United States,Ceridian HCM Holding Inc,0C0000ADWC,0P0001D4SR,,,Software - Application,7/5/2022,50.86,"7,763.52",-0.01,,130.37,43.23,0.64,,,,,,,,,,,-1.08,1.24,6.85,3/31/2022,-0.55,"1,083.00",-83.6,,US Dollar,Yes,Yes,Technology,Software Publishers,"COMPUTER RELATED SERVICES, N.E.C.",,,,,,Technology,Information Technology,Computer services software and systems,,Mid Blend,Speculative Growth,Emma Williams,5/5/2022,Common Stock,,4/26/2018,22,,,,,,,,,,,,,,,,,No
CF Industries Holdings Inc,CF,1324404,"New York Stock Exchange, Inc.",United States,United States,CF Industries Holdings Inc,0C000007A2,0P000000Y7,,,Agricultural Inputs,7/5/2022,83.55,"17,428.67",0.09,11.06,113.49,43.19,1.11,5/13/2022,0.4,"[2015-06-18]	1.000000	5.000000",4/27/2022,5/16/2022,5/31/2022,,1.56,,1.92,9.28,23.65,-2.03,3/31/2022,7.75,"8,358.00","1,649.00",1.2,US Dollar,Yes,Yes,Basic Materials,;Nitrogenous Fertilizer Manufacturing;;,;NITROGENOUS FERTILIZERS;;,,,,,,Materials & Processing,Chemical & Synthetics,Fertilizers,,Mid Value,Cyclical,"Seth Goldstein, CFA",5/5/2022,Common Stock,,8/11/2005,,,,,,,,,,,,,,,,,,No
Charles River Laboratories International Inc,CRL,1100682,"New York Stock Exchange, Inc.",United States,United States,Charles River Laboratories International Inc,0C000007AM,0P00000174,,,Diagnostics & Research,7/5/2022,222.72,"11,315.26",0.04,26.06,460.21,203.37,0.86,,,,,,,,,,,3.69,5.22,1.78,3/31/2022,8.21,"3,629.52",422.47,,US Dollar,Yes,Yes,Healthcare,;;Research and Development in Biotechnology (except Nanobiotechnology);;,;;;COMMERCIAL ECONOMIC & EDUCATIONAL RESEARCH;,,,,,,Healthcare,Pharmaceuticals & Biotech,Biotechnology,,Mid Blend,Aggressive Growth,Rachel Elfman,2/20/2022,Common Stock,,6/23/2000,,,,,,,,,,,,,,,,,,No
Charles Schwab Corp,SCHW,316709,"New York Stock Exchange, Inc.",United States,United States,Charles Schwab Corp,0C000007AN,0P00000175,,,Capital Markets,7/5/2022,63.39,"120,209.69",0.04,22.81,96.24,59.35,0.75,5/12/2022,0.2,"[1991-12-03]	2.000000	3.000000;[1993-06-02]	2.000000	3.000000;[1995-03-02]	2.000000	3.000000;[1995-09-05]	1.000000	2.000000;[1997-09-16]	2.000000	3.000000;[1998-12-14]	2.000000	3.000000;[1999-07-02]	1.000000	2.000000;[2000-05-31]	2.000000	3.000000;",4/27/2022,5/13/2022,5/27/2022,,1.2,,1.26,4.37,6.09,-0.83,3/31/2022,2.77,"18,477.00","5,773.00",0.74,US Dollar,Yes,Yes,Financial Services,Securities Brokerage,"SECURITY BROKERS, DEALERS, & FLOTATION COMPANIES",,,,,,Financial Services,Investment Banking & Brokerage,Securities brokerage & services,,Large Blend,Cyclical,"Michael Wong, CFA, CPA",6/22/2022,Common Stock,,9/30/1987,,,,,,,,,,,,,,,,,,No
Charter Communications Inc Class A,CHTR,1091667,Nasdaq - All Markets,United States,United States,Charter Communications Inc,0C000007AQ,0P0000MUUK,,,Telecom Services,7/5/2022,481.22,"80,776.76",0.06,17.19,825.62,407.75,0.79,,,"[2016-05-18]	1.000000	0.904200",,,,,,,,5.66,6.76,0.06,3/31/2022,27.26,"52,360.00","5,050.00",,US Dollar,Yes,Yes,Communication Services,;Wireless Telecommunications Carriers (except Satellite);,";COMMUNICATIONS SERVICES, N.E.C.;",,,,,,Consumer Discretionary,Media,Cable television services,,Large Blend,Classic Growth,"Michael Hodel, CFA",4/29/2022,Common Stock,5/11/2012,11/8/1999,,,,,,,,,,,,,,,,,,No
Chevron Corp,CVX,93410,"New York Stock Exchange, Inc.",United States,United States,Chevron Corp,0C000007BJ,0P00000185,,,Oil & Gas Integrated,7/5/2022,142.66,"280,300.29",0.07,13.61,182.4,92.86,1,5/18/2022,1.42,"[1994-06-13]	1.000000	2.000000;[2004-09-13]	1.000000	2.000000;",4/27/2022,5/19/2022,6/10/2022,,3.87,,3.98,7.46,10.65,-2.63,3/31/2022,10.64,"176,844.00","20,507.00",5.44,US Dollar,Yes,Yes,Energy,;Crude Petroleum Extraction;;;;;,;PETROLEUM REFINING;;,,,,,,Energy,Non-renewable Energy,Oil: Integrated,,Large Value,Hard Assets,"Allen Good, CFA",3/2/2022,Common Stock,,12/30/1983,,,,,,,,,,,,,,,,,,No
Chipotle Mexican Grill Inc,CMG,1058090,"New York Stock Exchange, Inc.",United States,United States,Chipotle Mexican Grill Inc,0C00000E2B,0P0000068U,,,Restaurants,7/5/2022,"1,362.71","38,104.71",0.02,54.38,"1,958.55","1,196.28",0.89,,,,,,,,,,,1.76,2.4,4.28,3/31/2022,24.04,"7,826.03",684.18,,US Dollar,Yes,Yes,Consumer Cyclical,;Limited-Service Restaurants;,EATING PLACES,,,,,,Consumer Discretionary,Leisure,Restaurants,,Large Growth,Cyclical,Sean Dunlop,4/27/2022,Common Stock,,1/26/2006,,,,,,,,,,,,,,,,,,No
Chubb Ltd,CB,896159,"New York Stock Exchange, Inc.",United States,Switzerland,Chubb Ltd,0C0000097M,0P0000001C,,CH0044328745,Insurance - Property & Casualty,7/5/2022,193.14,"81,835.61",0.1,10.46,218.99,157.19,1,6/16/2022,0.83,"[1998-03-03]	1.000000	3.000000",5/19/2022,6/17/2022,7/8/2022,,1.67,,1.72,9.73,7.86,-2.42,3/31/2022,18.79,"40,661.00","8,213.00",3.2,US Dollar,Yes,Yes,Financial Services,;;;,;;,,,,,,Financial Services,Insurance,Insurance: Property-casualty,,Large Blend,,"Brett Horn, CFA",3/18/2022,Common Stock,,2/29/1984,,,,,,,,,,,,,,,,,,No
Church & Dwight Co Inc,CHD,313927,"New York Stock Exchange, Inc.",United States,United States,Church & Dwight Co Inc,0C000007CR,0P0000019F,,,Household & Personal Products,7/5/2022,94.97,"23,055.97",0.03,28.34,105.28,80.34,1.64,5/13/2022,0.26,"[1981-06-22]	1.000000	3.000000;[1983-06-09]	2.000000	3.000000;[1984-09-04]	2.000000	3.000000;[1986-03-06]	1.000000	2.000000;[1999-09-02]	1.000000	2.000000;[2004-09-02]	2.000000	3.000000;[2011-06-02]	1.000000	2.000000;[2016-09-02]	1.000000	2.000000;",4/27/2022,5/16/2022,6/1/2022,,1.08,,1.11,3.44,3.34,0.76,3/31/2022,3.27,"5,248.40",811.2,1.02,US Dollar,Yes,Yes,Consumer Defensive,;Soap and Other Detergent Manufacturing;;,";SOAP & OTHER DETERGENTS, EXCEPT SPECIALTY CLEANERS;;;",,,,,,Consumer Staples,"Personal Care, Drug & Grocery Stores",Miscellaneous consumer staples,,Mid Blend,Classic Growth,"Erin Lash, CFA",5/25/2022,Common Stock,,8/15/1990,,,,,,,,,,,,,,,,,,No
Cigna Corp,CI,1739940,"New York Stock Exchange, Inc.",United States,United States,Cigna Corp,0C000007CX,0P0000019K,,,Healthcare Plans,7/5/2022,264.84,"84,026.70",0.06,16.36,273.58,191.74,0.89,6/7/2022,1.12,"[1998-05-18]	1.000000	3.000000;[2007-06-05]	1.000000	3.000000;",4/27/2022,6/8/2022,6/23/2022,,1.6,,1.69,6.08,8.28,-1.19,3/31/2022,16.11,"176,977.00","5,387.00",4.12,US Dollar,Yes,Yes,Healthcare,;;;Direct Health and Medical Insurance Carriers;;;;,;;HOSPITAL & MEDICAL SERVICE PLANS;;;;,,,,,,Healthcare,Health Care Services,Health care management services,,Large Value,Aggressive Growth,"Julie Utterback, CFA",5/6/2022,Common Stock,,4/1/1982,,,,,,,,,,,,,,,,,,No
